method,scenario,cost,average_waiting_time,average_queue_length,num_stops,total_cars_arrived,total_cars_departed
Baseline,moderate symmetric (seed=1),45.7204,10.3214,6.199,292,599,588
Baseline,moderate symmetric (seed=2),52.68,12.005,7.275,334,607,605
Baseline,moderate symmetric (seed=3),48.9414,11.2014,6.74,310,601,591
Baseline,moderate asymmetric (seed=1),43.6872,9.9782,6.009,277,604,597
Baseline,moderate asymmetric (seed=2),44.9678,9.4968,5.971,295,631,626
Baseline,moderate asymmetric (seed=3),41.4745,8.7395,5.235,275,602,595
Baseline,heavy asymmetric (seed=1),54.1699,10.4339,8.436,353,812,802
Baseline,heavy asymmetric (seed=2),57.0664,11.5704,9.396,361,813,810
Baseline,heavy asymmetric (seed=3),53.2988,9.7438,7.955,356,823,808
Baseline,heavy symmetric (seed=1),132.4348,30.0718,29.263,731,987,947
Baseline,heavy symmetric (seed=2),155.0516,36.2826,36.269,825,1017,966
Baseline,heavy symmetric (seed=3),154.6947,36.9667,36.728,810,1007,960
PSO,moderate symmetric (seed=1),48.2598,11.2598,6.8,302,599,585
PSO,moderate symmetric (seed=2),49.6598,11.2338,6.826,316,607,603
PSO,moderate symmetric (seed=3),47.9513,11.1503,6.701,301,601,592
PSO,moderate asymmetric (seed=1),43.5592,9.7672,5.892,279,604,597
PSO,moderate asymmetric (seed=2),46.032,9.84,6.192,300,631,625
PSO,moderate asymmetric (seed=3),42.6455,9.0905,5.455,281,602,597
PSO,heavy asymmetric (seed=1),54.8433,10.5113,8.532,358,812,798
PSO,heavy asymmetric (seed=2),62.3276,12.9296,10.498,389,813,810
PSO,heavy asymmetric (seed=3),57.2371,10.6481,8.689,379,823,807
PSO,heavy symmetric (seed=1),111.3894,23.5644,23.325,645,987,955
PSO,heavy symmetric (seed=2),126.5251,28.2311,28.394,699,1017,978
PSO,heavy symmetric (seed=3),126.7861,28.1771,28.109,705,1007,971
ACO,moderate symmetric (seed=1),45.7691,10.0441,6.025,297,599,589
ACO,moderate symmetric (seed=2),48.3061,10.5141,6.392,314,607,603
ACO,moderate symmetric (seed=3),44.6969,9.9329,5.964,288,601,596
ACO,moderate asymmetric (seed=1),43.2699,9.2639,5.606,284,604,595
ACO,moderate asymmetric (seed=2),44.1982,9.0192,5.679,295,631,625
ACO,moderate asymmetric (seed=3),39.7244,8.0754,4.849,268,602,597
ACO,heavy asymmetric (seed=1),59.7387,11.6767,9.462,386,812,798
ACO,heavy asymmetric (seed=2),74.0082,15.7182,12.79,455,813,802
ACO,heavy asymmetric (seed=3),67.9332,13.4532,10.98,435,823,801
ACO,heavy symmetric (seed=1),119.6529,26.0769,25.476,681,987,949
ACO,heavy symmetric (seed=2),142.2289,31.9949,32.034,782,1017,976
ACO,heavy symmetric (seed=3),141.5018,32.1608,32.041,773,1007,964
